                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.71967,                 1.4176,                0.12455,                0.21983,                0.43693,                0.77059,                0.84311,                0.86409,                0.75814,                0.77332,                0.82923,                0.84794,                0.64629,                0.74586,                 1.2957,                0.09289,                0.26056,                0.44979,              0.0044506,              0.0044506,              0.0044506
                     58,                0.71514,                 1.3978,                0.12321,                0.21792,                0.43533,                 0.7712,                0.84229,                 0.8642,                0.75828,                0.77469,                0.82871,                0.84802,                0.64675,                0.74574,                 1.2942,                0.09272,                0.26019,                0.44975,              0.0043515,              0.0043515,              0.0043515
                     59,                0.71645,                 1.4109,                0.12444,                0.21839,                0.43646,                0.77016,                0.84334,                0.86433,                0.75857,                0.77052,                0.83369,                 0.8485,                0.64715,                0.74548,                 1.2932,                0.09257,                0.25987,                0.44967,              0.0042524,              0.0042524,              0.0042524
                     60,                0.71462,                 1.4065,                0.12349,                0.21743,                0.43614,                0.77136,                0.84254,                0.86412,                0.75835,                0.76938,                0.83424,                0.84834,                0.64781,                0.74519,                 1.2919,                0.09238,                0.25984,                0.44959,              0.0041533,              0.0041533,              0.0041533
                     61,                0.71374,                 1.3926,                0.12319,                0.21623,                0.43587,                0.77114,                0.84266,                0.86426,                0.75868,                0.76897,                0.83538,                0.84859,                0.64797,                0.74477,                 1.2907,                0.09221,                0.25965,                0.44953,              0.0040542,              0.0040542,              0.0040542
                     62,                0.71065,                 1.3856,                0.12268,                 0.2164,                0.43554,                0.77093,                0.84243,                0.86417,                0.75883,                0.76923,                0.83527,                0.84844,                0.64833,                0.74445,                 1.2895,                0.09201,                0.25972,                0.44949,              0.0039551,              0.0039551,              0.0039551
                     63,                 0.7105,                  1.386,                0.12194,                0.21541,                0.43563,                0.77041,                 0.8422,                0.86363,                0.75833,                0.77454,                0.82722,                0.84803,                0.64857,                0.74411,                 1.2884,                0.09186,                0.26022,                0.44942,               0.003856,               0.003856,               0.003856
                     64,                  0.708,                 1.3698,                0.12106,                0.21481,                0.43477,                0.77053,                0.84136,                0.86324,                0.75823,                 0.7767,                0.82408,                0.84743,                0.64865,                0.74372,                 1.2869,                0.09169,                0.26056,                0.44932,               0.003757,               0.003757,               0.003757
                     65,                 0.7095,                 1.3901,                0.12211,                0.21496,                0.43519,                0.77028,                0.84017,                0.86294,                0.75821,                0.77546,                0.82356,                0.84715,                0.64876,                0.74356,                 1.2862,                0.09158,                0.26055,                0.44927,              0.0036579,              0.0036579,              0.0036579
                     66,                0.70595,                 1.3742,                0.12091,                 0.2131,                 0.4339,                0.77254,                0.83788,                0.86288,                0.75861,                0.77367,                0.82545,                0.84753,                0.64896,                0.74337,                 1.2852,                 0.0914,                0.26045,                0.44923,              0.0035588,              0.0035588,              0.0035588
                     67,                  0.702,                 1.3593,                0.11987,                0.21258,                0.43336,                0.77092,                0.83981,                0.86266,                0.75866,                0.77398,                 0.8256,                0.84726,                0.64979,                0.74296,                 1.2842,                0.09125,                0.26042,                0.44916,              0.0034597,              0.0034597,              0.0034597
                     68,                0.70005,                 1.3454,                0.12039,                0.21131,                0.43353,                0.77291,                0.83696,                0.86245,                0.75869,                0.77317,                0.82526,                0.84731,                 0.6497,                0.74264,                  1.283,                0.09102,                0.26042,                0.44908,              0.0033606,              0.0033606,              0.0033606
                     69,                0.69913,                 1.3459,                0.11902,                0.21168,                0.43288,                0.77244,                0.83626,                 0.8623,                 0.7585,                0.77282,                0.82594,                0.84752,                0.65005,                0.74235,                  1.282,                0.09084,                0.26056,                0.44904,              0.0032615,              0.0032615,              0.0032615
                     70,                0.69944,                 1.3562,                0.11987,                0.21222,                0.43317,                0.77216,                 0.8372,                0.86224,                0.75879,                0.77355,                0.82601,                 0.8476,                0.65043,                0.74207,                 1.2807,                0.09064,                0.26034,                0.44897,              0.0031624,              0.0031624,              0.0031624
                     71,                0.69481,                 1.3287,                0.11904,                0.20943,                0.43245,                0.76975,                0.83959,                0.86234,                0.75903,                0.77334,                0.82526,                0.84754,                0.65076,                0.74175,                 1.2798,                0.09044,                0.26004,                0.44892,              0.0030633,              0.0030633,              0.0030633
                     72,                0.69314,                 1.3304,                0.11924,                0.20844,                0.43136,                0.76888,                0.84038,                0.86209,                0.75887,                0.77214,                0.82663,                0.84735,                0.65118,                0.74148,                 1.2788,                0.09026,                0.26019,                0.44887,              0.0029642,              0.0029642,              0.0029642
                     73,                 0.6955,                  1.337,                0.11924,                0.20983,                0.43236,                0.76824,                0.84118,                0.86227,                 0.7591,                0.77082,                0.82824,                0.84752,                0.65157,                0.74114,                 1.2778,                0.09001,                0.25978,                 0.4488,              0.0028651,              0.0028651,              0.0028651
                     74,                0.68833,                 1.3257,                0.11718,                0.20717,                0.43141,                0.76601,                0.84322,                0.86203,                0.75919,                0.77016,                0.82867,                0.84734,                0.65161,                0.74077,                 1.2767,                0.08982,                0.25957,                0.44868,               0.002766,               0.002766,               0.002766
                     75,                0.68974,                 1.3061,                0.11821,                0.20756,                0.43157,                0.76459,                 0.8441,                0.86169,                0.75894,                 0.7694,                 0.8297,                0.84716,                0.65179,                0.74056,                 1.2756,                0.08959,                0.25952,                0.44863,              0.0026669,              0.0026669,              0.0026669
                     76,                0.68801,                 1.3186,                0.11715,                0.20637,                0.43121,                0.76495,                0.84285,                0.86167,                0.75892,                0.76832,                0.83132,                0.84726,                0.65214,                0.74018,                 1.2747,                0.08942,                0.25937,                0.44858,              0.0025678,              0.0025678,              0.0025678
                     77,                0.68514,                 1.3125,                 0.1172,                0.20579,                0.43065,                0.76448,                0.84311,                0.86143,                0.75884,                0.76811,                0.83083,                0.84693,                0.65219,                0.74006,                 1.2736,                0.08926,                0.25927,                0.44854,              0.0024687,              0.0024687,              0.0024687
                     78,                0.68881,                 1.3169,                0.11601,                0.20661,                0.43149,                0.76459,                0.84175,                0.86111,                0.75846,                 0.7676,                0.83072,                0.84656,                0.65215,                0.73973,                  1.273,                 0.0891,                0.25958,                0.44848,              0.0023696,              0.0023696,              0.0023696
                     79,                0.68463,                 1.3061,                 0.1162,                0.20463,                0.43055,                0.76298,                0.84345,                0.86085,                0.75843,                0.76635,                0.83189,                0.84652,                0.65228,                 0.7395,                 1.2722,                0.08896,                0.25964,                0.44848,              0.0022705,              0.0022705,              0.0022705
                     80,                0.68073,                 1.2941,                0.11595,                0.20383,                 0.4299,                0.76139,                0.84663,                0.86077,                0.75887,                 0.7659,                 0.8322,                0.84646,                0.65241,                0.73921,                 1.2718,                0.08874,                0.25973,                0.44845,              0.0021714,              0.0021714,              0.0021714
                     81,                0.68185,                 1.3062,                0.11641,                0.20436,                0.43026,                0.76027,                 0.8472,                0.86049,                0.75854,                0.76544,                0.83178,                0.84609,                0.65225,                0.73899,                 1.2716,                0.08853,                0.25986,                0.44841,              0.0020723,              0.0020723,              0.0020723
                     82,                0.67855,                 1.2958,                0.11496,                0.20361,                0.42995,                0.76024,                 0.8482,                0.86043,                 0.7588,                0.76603,                0.83129,                 0.8461,                0.65229,                 0.7388,                 1.2706,                0.08833,                0.25993,                0.44836,              0.0019732,              0.0019732,              0.0019732
                     83,                0.67715,                 1.2778,                0.11582,                0.20271,                0.42963,                0.76033,                0.84823,                0.86059,                0.75892,                0.76664,                0.83072,                0.84638,                0.65247,                0.73866,                 1.2701,                0.08818,                 0.2596,                0.44833,              0.0018741,              0.0018741,              0.0018741
                     84,                0.67657,                 1.2823,                0.11486,                0.20321,                0.42908,                0.76252,                 0.8458,                0.86056,                  0.759,                 0.7664,                0.83177,                0.84651,                0.65305,                 0.7382,                 1.2694,                0.08799,                0.25939,                0.44826,               0.001775,               0.001775,               0.001775
                     85,                0.67885,                 1.2826,                0.11524,                0.20187,                0.42985,                0.76206,                0.84546,                0.86052,                0.75891,                0.76473,                0.83345,                0.84632,                0.65308,                 0.7381,                 1.2688,                0.08781,                0.25937,                 0.4482,              0.0016759,              0.0016759,              0.0016759
                     86,                0.67545,                 1.2824,                0.11479,                0.20203,                0.42835,                0.76263,                0.84557,                0.86068,                0.75896,                0.76311,                0.83572,                0.84642,                0.65343,                0.73791,                 1.2683,                0.08758,                0.25909,                0.44815,              0.0015768,              0.0015768,              0.0015768
